,eval_win_rate,algo,step,scenario
32,0.0,BPPO,13200000.0,5_vs_5
33,0.0,BPPO,13600000.0,5_vs_5
34,0.0,BPPO,14000000.0,5_vs_5
35,0.0,BPPO,14400000.0,5_vs_5
36,0.0,BPPO,14800000.0,5_vs_5
37,0.0,BPPO,15200000.0,5_vs_5
38,0.0,BPPO,15600000.0,5_vs_5
39,0.0,BPPO,16000000.0,5_vs_5
40,0.0,BPPO,16400000.0,5_vs_5
41,0.0,BPPO,16800000.0,5_vs_5
42,0.0,BPPO,17200000.0,5_vs_5
43,0.0,BPPO,17600000.0,5_vs_5
44,0.0,BPPO,18000000.0,5_vs_5
45,0.0,BPPO,18400000.0,5_vs_5
46,0.0,BPPO,18800000.0,5_vs_5
47,0.0,BPPO,19200000.0,5_vs_5
48,0.0,BPPO,19600000.0,5_vs_5
49,0.0,BPPO,20000000.0,5_vs_5
0,0.0,BPPO,400000.0,5_vs_5
1,0.0,BPPO,800000.0,5_vs_5
2,0.0,BPPO,1200000.0,5_vs_5
3,0.0,BPPO,1600000.0,5_vs_5
4,0.0,BPPO,2000000.0,5_vs_5
5,0.0,BPPO,2400000.0,5_vs_5
6,0.0,BPPO,2800000.0,5_vs_5
7,0.0,BPPO,3200000.0,5_vs_5
8,0.0,BPPO,3600000.0,5_vs_5
9,0.0,BPPO,4000000.0,5_vs_5
10,0.0,BPPO,4400000.0,5_vs_5
11,0.0,BPPO,4800000.0,5_vs_5
12,0.0,BPPO,5200000.0,5_vs_5
13,0.0,BPPO,5600000.0,5_vs_5
14,0.0,BPPO,6000000.0,5_vs_5
15,0.0,BPPO,6400000.0,5_vs_5
16,0.0,BPPO,6800000.0,5_vs_5
17,0.0,BPPO,7200000.0,5_vs_5
18,0.0,BPPO,7600000.0,5_vs_5
19,0.0,BPPO,8000000.0,5_vs_5
20,0.0,BPPO,8400000.0,5_vs_5
21,0.0,BPPO,8800000.0,5_vs_5
22,0.0,BPPO,9200000.0,5_vs_5
23,0.0,BPPO,9600000.0,5_vs_5
24,0.0,BPPO,10000000.0,5_vs_5
25,0.0,BPPO,10400000.0,5_vs_5
26,0.0,BPPO,10800000.0,5_vs_5
27,0.0,BPPO,11200000.0,5_vs_5
28,0.0,BPPO,11600000.0,5_vs_5
29,0.0,BPPO,12000000.0,5_vs_5
30,0.0,BPPO,12400000.0,5_vs_5
31,0.0,BPPO,12800000.0,5_vs_5
32,0.0,BPPO,13200000.0,5_vs_5
33,0.0,BPPO,13600000.0,5_vs_5
34,0.0,BPPO,14000000.0,5_vs_5
35,0.0,BPPO,14400000.0,5_vs_5
36,0.0,BPPO,14800000.0,5_vs_5
37,0.0,BPPO,15200000.0,5_vs_5
38,0.0,BPPO,15600000.0,5_vs_5
39,0.0,BPPO,16000000.0,5_vs_5
40,0.0,BPPO,16400000.0,5_vs_5
41,0.0,BPPO,16800000.0,5_vs_5
42,0.0,BPPO,17200000.0,5_vs_5
43,0.0,BPPO,17600000.0,5_vs_5
44,0.0,BPPO,18000000.0,5_vs_5
45,0.0,BPPO,18400000.0,5_vs_5
46,0.0,BPPO,18800000.0,5_vs_5
47,0.0,BPPO,19200000.0,5_vs_5
48,0.0,BPPO,19600000.0,5_vs_5
49,0.0,BPPO,20000000.0,5_vs_5
0,0.0,BPPO,400000.0,5_vs_5
1,0.0,BPPO,800000.0,5_vs_5
2,0.0,BPPO,1200000.0,5_vs_5
3,0.0,BPPO,1600000.0,5_vs_5
4,0.0,BPPO,2000000.0,5_vs_5
5,0.0,BPPO,2400000.0,5_vs_5
6,0.0,BPPO,2800000.0,5_vs_5
7,0.0,BPPO,3200000.0,5_vs_5
8,0.0,BPPO,3600000.0,5_vs_5
9,0.0,BPPO,4000000.0,5_vs_5
10,0.0,BPPO,4400000.0,5_vs_5
11,0.0,BPPO,4800000.0,5_vs_5
12,0.0,BPPO,5200000.0,5_vs_5
13,0.0,BPPO,5600000.0,5_vs_5
14,0.0,BPPO,6000000.0,5_vs_5
15,0.0,BPPO,6400000.0,5_vs_5
16,0.0,BPPO,6800000.0,5_vs_5
17,0.0,BPPO,7200000.0,5_vs_5
18,0.0,BPPO,7600000.0,5_vs_5
19,0.0,BPPO,8000000.0,5_vs_5
20,0.0,BPPO,8400000.0,5_vs_5
21,0.0,BPPO,8800000.0,5_vs_5
22,0.0,BPPO,9200000.0,5_vs_5
23,0.0,BPPO,9600000.0,5_vs_5
24,0.0,BPPO,10000000.0,5_vs_5
25,0.0,BPPO,10400000.0,5_vs_5
26,0.0,BPPO,10800000.0,5_vs_5
27,0.0,BPPO,11200000.0,5_vs_5
28,0.0,BPPO,11600000.0,5_vs_5
29,0.0,BPPO,12000000.0,5_vs_5
30,0.0,BPPO,12400000.0,5_vs_5
31,0.0,BPPO,12800000.0,5_vs_5
32,0.0,BPPO,13200000.0,5_vs_5
33,0.0,BPPO,13600000.0,5_vs_5
34,0.0,BPPO,14000000.0,5_vs_5
35,0.0,BPPO,14400000.0,5_vs_5
36,0.0,BPPO,14800000.0,5_vs_5
37,0.0,BPPO,15200000.0,5_vs_5
38,0.0,BPPO,15600000.0,5_vs_5
39,0.0,BPPO,16000000.0,5_vs_5
40,0.0,BPPO,16400000.0,5_vs_5
41,0.0,BPPO,16800000.0,5_vs_5
42,0.0,BPPO,17200000.0,5_vs_5
43,0.0,BPPO,17600000.0,5_vs_5
44,0.0,BPPO,18000000.0,5_vs_5
45,0.0,BPPO,18400000.0,5_vs_5
46,0.0,BPPO,18800000.0,5_vs_5
47,0.0,BPPO,19200000.0,5_vs_5
48,0.0,BPPO,19600000.0,5_vs_5
49,0.0,BPPO,20000000.0,5_vs_5
0,0.0,MAPPO,400000.0,5_vs_5
1,0.0,MAPPO,800000.0,5_vs_5
2,0.0,MAPPO,1200000.0,5_vs_5
3,0.0,MAPPO,1600000.0,5_vs_5
4,0.0,MAPPO,2000000.0,5_vs_5
5,0.0,MAPPO,2400000.0,5_vs_5
6,0.0,MAPPO,2800000.0,5_vs_5
7,0.0,MAPPO,3200000.0,5_vs_5
8,0.0,MAPPO,3600000.0,5_vs_5
9,0.0,MAPPO,4000000.0,5_vs_5
10,0.0,MAPPO,4400000.0,5_vs_5
11,0.0,MAPPO,4800000.0,5_vs_5
12,0.0,MAPPO,5200000.0,5_vs_5
13,0.0,MAPPO,5600000.0,5_vs_5
14,0.0,MAPPO,6000000.0,5_vs_5
15,0.0,MAPPO,6400000.0,5_vs_5
16,0.0,MAPPO,6800000.0,5_vs_5
17,0.0,MAPPO,7200000.0,5_vs_5
18,0.0,MAPPO,7600000.0,5_vs_5
19,0.0,MAPPO,8000000.0,5_vs_5
20,0.0,MAPPO,8400000.0,5_vs_5
21,0.0,MAPPO,8800000.0,5_vs_5
22,0.0,MAPPO,9200000.0,5_vs_5
23,0.0,MAPPO,9600000.0,5_vs_5
24,0.0,MAPPO,10000000.0,5_vs_5
25,0.0,MAPPO,10400000.0,5_vs_5
26,0.0,MAPPO,10800000.0,5_vs_5
27,0.0,MAPPO,11200000.0,5_vs_5
28,0.0,MAPPO,11600000.0,5_vs_5
29,0.0,MAPPO,12000000.0,5_vs_5
30,0.0,MAPPO,12400000.0,5_vs_5
31,0.0,MAPPO,12800000.0,5_vs_5
32,0.0,MAPPO,13200000.0,5_vs_5
33,0.0,MAPPO,13600000.0,5_vs_5
34,0.0,MAPPO,14000000.0,5_vs_5
35,0.0,MAPPO,14400000.0,5_vs_5
36,0.0,MAPPO,14800000.0,5_vs_5
37,0.0,MAPPO,15200000.0,5_vs_5
38,0.0,MAPPO,15600000.0,5_vs_5
39,0.0,MAPPO,16000000.0,5_vs_5
40,0.0,MAPPO,16400000.0,5_vs_5
41,0.0,MAPPO,16800000.0,5_vs_5
42,0.0,MAPPO,17200000.0,5_vs_5
43,0.0,MAPPO,17600000.0,5_vs_5
44,0.0,MAPPO,18000000.0,5_vs_5
45,0.0,MAPPO,18400000.0,5_vs_5
46,0.0,MAPPO,18800000.0,5_vs_5
47,0.0,MAPPO,19200000.0,5_vs_5
48,0.0,MAPPO,19600000.0,5_vs_5
49,0.0,MAPPO,20000000.0,5_vs_5
0,0.0,ARMAPPO,400000.0,5_vs_5
1,0.0,ARMAPPO,800000.0,5_vs_5
2,0.0,ARMAPPO,1200000.0,5_vs_5
3,0.0,ARMAPPO,1600000.0,5_vs_5
4,0.0,ARMAPPO,2000000.0,5_vs_5
5,0.0,ARMAPPO,2400000.0,5_vs_5
6,0.0,ARMAPPO,2800000.0,5_vs_5
7,0.0,ARMAPPO,3200000.0,5_vs_5
8,0.0,ARMAPPO,3600000.0,5_vs_5
9,0.0,ARMAPPO,4000000.0,5_vs_5
10,0.0,ARMAPPO,4400000.0,5_vs_5
11,0.0,ARMAPPO,4800000.0,5_vs_5
12,0.0,ARMAPPO,5200000.0,5_vs_5
13,0.0,ARMAPPO,5600000.0,5_vs_5
14,0.0,ARMAPPO,6000000.0,5_vs_5
15,0.0,ARMAPPO,6400000.0,5_vs_5
